Wald und Forstwirtschaft in Hessen 2011-2014,,,,,,
"Hessisches Ministerium für Umwelt, Klimaschutz, Landwirtschaft und Verbraucherschutz",,,,,,
Jährlicher Holzeinschlag aller Waldbesitzarten seit 1997,,,,,,
,,,,,,
FWJ,Eiche,Buche,Buntholz,Fichte,Kiefer,Insgesamt
1997,155,1036,21,1684,779,3675
1998,265,1631,36,1761,951,4644
1999,278,1796,32,1732,914,4752
2000,204,1300,0,1024,616,3144
2001,322,1515,0,1592,706,4135
2002,265,1410,0,2036,663,4374
2003,404,1698,0,2482,820,5404
2004,400,1572,0,2775,757,5504
2005,370,1489,0,2601,887,5347
2006,388,1881,0,2580,844,5693
2007,271,1816,0,6524,782,9393
2008,292,1721,0,3698,661,6372
2009,135,1149,0,1926,534,3744
2010,223,1733,0,3201,807,5964
2011,297,1908,0,2018,829,5052
2012,281,1821,0,1685,777,4564
2013,284,1821,0,1721,813,4639
2014,285,1911,0,1704,805,4705
Buntholz ab 2010 in Buche enthalten,,,,,,
